ID,VALUE
0017000000NlGoRAAV,985
0017000000NlGocAAF,$286.5 mm
0017000000NlGogAAF,750
0017000000NlGohAAF,2000
0017000000NlGpUAAV,905
0017000000NlGpVAAV,249
0017000000NsU28AAF,å£150 mm (~$224 mm)
0017000000NsrmdAAB,115
0017000000NssstAAB,280
0017000000NtdP9AAJ,135
0017000000O76iMAAR,"1,825"
0017000000O8BUmAAN,na
0017000000O8EznAAF,70
0017000000O8F02AAF,793
0017000000O8F72AAF,250
0017000000O8c9rAAB,175
0017000000O8fErAAJ,- $7.85 bn
0017000000O8gEUAAZ,116
0017000000O8wrPAAR,2400
0017000000ODIUxAAP,332
0017000000ODOumAAH,500
0017000000ODSHZAA5,325
0017000000ODg8OAAT,765
0017000000ODoCYAA1,565
0017000000OEOoxAAH,-$81 mm
0017000000OEik6AAD,5000
0017000000OEiqqAAD,250
0017000000OFWdvAAH,1100
0017000000OyKk5AAF,1350
0017000000PGSfwAAH,-$350 mm
0017000000PO5eaAAD,1000
0017000000PXykIAAT,- $227 mm
0017000000PYLTPAA5,120
0017000000PYgz5AAD,561
0017000000PYgzrAAD,280
0017000000Piz1wAAB,- $1.1 bn
0017000000Pj8YSAAZ,112
0017000000Pn0EnAAJ,"1,600"
0017000000PpAQ6AAN,350
0017000000PpZNkAAN,"20,300"
0017000000Q2lwzAAB,175
0017000000Q2mqIAAR,275
0017000000Q3iOmAAJ,157.9
0017000000Q40YRAAZ,200
0017000000Q6D3AAAV,75
0017000000Q6TizAAF,244
0017000000Q6Tm2AAF,110
0017000000QJpA7AAL,280
0017000000QOJkiAAH,225
0017000000QOLNfAAP,200 mn
0017000000QOZkxAAH,4 bn
0017000000QQuQMAA1,162.535
0017000000QR8pvAAD,115
0017000000QRWHGAA5,115
0017000000QfZh1AAF,353
0017000000Qfo96AAB,400
0017000000Qfqj3AAB,909.7
0017000000QftlxAAB,$75 - 100mm
0017000000Qg6ZhAAJ,750
0017000000Qg6bzAAB,$1.11bn
0017000000Qh9WIAAZ,225
0017000000QhHskAAF,‰âÂ77mm
0017000000QhIl4AAF,130
0017000000QhNAMAA3,4100
0017000000QvcGUAAZ,500
0017000000QvcR1AAJ,525
0017000000QvcRHAAZ,100
0017000000QvvNKAAZ,164
0017000000QwQqUAAV,140
0017000000Qy7sXAAR,100
0017000000Qy7uwAAB,150
0017000000QyRAlAAN,3000
0017000000QyTEqAAN,600
0017000000QysjyAAB,- $1.5Bn
0017000000QyvKiAAJ,500
0017000000RG7zSAAT,200
0017000000RGpOqAAL,3000
0017000000RGw5KAAT,301
0017000000RGwlFAAT,265
0017000000RINEfAAP,198
0017000000S64iQAAR,66
0017000000S66yAAAR,350
0017000000S6JzVAAV,435
0017000000S6KB7AAN,"1,325"
0017000000S6KbeAAF,1500
0017000000S7nUMAAZ,6000
0017000000STx08AAD,400
0017000000SwBhdAAF,75
0017000000SyDw2AAF,325
0017000000SyY4jAAF,206.6
0017000000TIZnyAAH,"2,700"
0017000000TJ8kKAAT,267
0017000000TJ95JAAT,64
0017000000TK0uQAAT,1300
0017000000UOi92AAD,87
0017000000USLjrAAH,å£375mm
0017000000USh1UAAT,204
0017000000Ua96MAAR,- $100 mm
0017000000UTpQIAA1,"$3,750 "
0017000000UUgqyAAD,136
0017000000UcjHUAAZ,- $900 mm
0017000000V1cAgAAJ,185
0017000000V1op1AAB,- $850 mm
0017000000V1qEzAAJ,240
0017000000V281yAAB,550
0017000000V28xCAAR,100
0017000000VMMajAAH,105
0017000000VMNi0AAH,310
0017000000VMPEvAAP,700
0017000000VMQZDAA5,107
0017000000VMZrPAAX,117
0017000000VNeSzAAL,$340 mm
0017000000VNecVAAT,$640 million
0017000000VNfL1AAL,59.3
0017000000VNfLvAAL,275
0017000000VNgDAAA1,750
0017000000VNgLOAA1,$300 mm
0017000000VNhrCAAT,- $350 mm
0017000000VNi6QAAT,300
0017000000VSDX2AAP,100
0017000000VSPvLAAX,$295 
0017000000VScqAAAT,$42 mm
0017000000VUA2XAAX,na
0017000000VUZE0AAP,7880.25
0017000000VUp2YAAT,å£200mm
0017000000Vb5huAAB,$ 525 mm
0017000000VfnyoAAB,325
0017000000WRueGAAT,300
0017000000WSkgNAAT,- $275 mm
0017000000WSkmSAAT,500mm
0017000000WboEaAAJ,"1,200"
0017000000Wd68pAAB,369
0017000000WdVzRAAV,-  $18 mm
0017000000WdwAxAAJ,170
0017000000WdxGQAAZ,"4,500"
0017000000WfGw0AAF,400
0017000000WfGwAAAV,500
0017000000XWkyHAAT,28
0017000000XdtdkAAB,N/A
0017000000XwapaAAB,$305mm
0017000000XzHxLAAV,202
0017000000YNPPGAA5,2200
0017000000YOGk1AAH,$1.3 B
0017000000YdqOTAAZ,- $50 mm
0017000000Yfm4BAAR,1700
0017000000YfmUsAAJ,78
0017000000YfmYkAAJ,250
0017000000YfuHRAAZ,589
0017000000YfuQLAAZ,na
0017000000Yg8X8AAJ,$400 mm
0017000000YhGvoAAF,"3,400"
0017000000YhQftAAF,72
0017000000YhQggAAF,289
0017000000YhR3AAAV,90
0017000000YuIcBAAV,90
0017000000YuIh1AAF,250
0017000000Yv4EPAAZ,- $463 mm
0017000000Yv4JcAAJ,255
0017000000YvC7LAAV,500
0017000000YvF8bAAF,1793
0017000000YvorzAAB,100
0017000000YwWP9AAN,215
0017000000YwiOmAAJ,350
0017000000ZJx6vAAD,285
0017000000ZK4lFAAT,200
0017000000ZKDONAA5,2500
0017000000ZKXwAAAX,$233.50 
0017000000ZKqwwAAD,$203 mm
0017000000ZKxMVAA1,- $353 mm
0017000000ZKxi7AAD,85
0017000000ZL3DQAA1,- $450 mm
0017000000ZM7q5AAD,250
0017000000ZMAX0AAP,131
0017000000ZMyK1AAL,500
0017000000ZMzVYAA1,250
0017000000ZN5oQAAT,380
0017000000ZNELuAAP,"3,640"
0017000000bDN2xAAG,- $116 mm
0017000000bDOUoAAO,- $500 mm
0017000000bDYDAAA4,700
0017000000bDj4pAAC,Operate on per-project basis
0017000000bEGppAAG,450
0017000000bEobXAAS,147
0017000000bErr4AAC,161
0017000000bFF9EAAW,"25,200"
0017000000bFNDFAA4,125
0017000000bFbe5AAC,$100 mm
0017000000bFvmWAAS,818
0017000000bGL0tAAG,- $402.2 mm
0017000000bGXM6AAO,315
0017000000cIQwpAAG,285
0017000000cIR7xAAG,$100 mm
0017000000cIp5uAAC,$133 mm
0017000000cIxOLAA0,$66 mm
0017000000cJLr0AAG,285
0017000000cJQfSAAW,- $910 mm
0017000000cK7E7AAK,160
0017000000cK7SKAA0,560
0017000000cKeGuAAK,1100
0017000000cKsVSAA0,390
0017000000cKsZVAA0,37
0017000000cKy2uAAC,64
0017000000cKyC5AAK,300
0017000000cLoH6AAK,"1,083"
0017000000dIwyDAAS,105 mn
0017000000dJhJJAA0,893
0017000000dJhSnAAK,7476
0017000000dMvDGAA0,675
0017000000dN2QWAA0,120
0017000000dN5EaAAK,$125 mm
0017000000dN5EeAAK,315
